Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
C12	6541,140	0,091	19:49:20	-0,025	0,102	-0,837	0,701	7:29:20	7:34:56	7:09:20	7:49:20	0,090	1,000	4:04:20	4:07:07
D1	49274,040	1,464	19:49:20	2,567	-1,321	1,000	1,000	17:29:20	9:10:37	17:09:20	17:49:20	1,400	1,000	5:04:20	4:17:33
D2	69640,530	1,300	19:49:20	4,075	-0,166	1,000	1,000	2:19:20	1:09:50	1:59:20	2:39:20	4,240	1,000	2:24:20	1:15:49
D3	6632,130	0,094	19:29:20	-0,057	0,104	-0,860	0,740	3:29:20	3:44:04	3:09:20	3:49:20	0,230	1,000	2:34:20	2:38:28
D4	69689,490	1,444	19:49:20	4,172	-0,274	0,997	0,994	2:39:20	1:30:52	2:19:20	2:59:20	5,290	1,000	2:44:20	1:47:20
D5	6540,630	0,092	19:09:20	0,014	0,088	0,962	0,925	2:39:20	2:29:20	2:19:20	2:59:20	0,070	1,000	4:04:20	3:59:20
D6	70066,440	1,470	19:49:20	3,704	-0,236	1,000	0,999	2:19:20	1:30:16	1:59:20	2:39:20	4,050	1,000	2:14:20	1:35:02
D7	6494,070	0,091	19:09:20	0,014	0,089	0,707	0,500	1:29:20	1:47:54	1:09:20	1:49:20	0,060	1,000	4:04:20	3:57:40
D8	65455,470	1,397	19:49:20	4,122	-0,358	0,995	0,991	2:49:20	1:50:10	2:29:20	3:09:20	5,320	1,000	2:54:20	2:05:54
D9	6419,610	0,089	0:29:20	0,010	0,079	0,657	0,431	16:59:20	18:05:20	16:39:20	17:19:20	-0,040	1,000	1:14:20	1:16:50
D10	70238,820	1,454	19:49:20	4,219	-0,254	0,999	0,998	2:09:20	1:24:55	1:49:20	2:29:20	4,890	1,000	2:24:20	1:34:11
D11	6503,010	0,091	19:09:20	-0,013	0,091	-0,794	0,631	0:39:20	?????	0:19:20	0:59:20	0,050	1,000	1:24:20	1:23:20
D12	78821,430	1,552	19:49:20	3,889	-0,214	0,999	0,997	3:09:20	1:25:27	2:49:20	3:29:20	4,350	1,000	3:14:20	1:38:44
E1	46152,090	1,370	19:49:20	3,615	-1,121	1,000	0,999	6:39:20	5:35:09	6:19:20	6:59:20	0,870	1,000	5:04:20	4:31:59
E2	6388,170	0,089	0:29:20	0,015	0,082	0,916	0,840	7:49:20	8:44:00	7:29:20	8:09:20	0,040	1,000	2:54:20	3:04:20
E3	69637,650	1,619	19:49:20	3,049	-0,158	0,999	0,998	2:19:20	1:26:12	1:59:20	2:39:20	3,360	1,000	2:14:20	1:31:34
E4	6455,640	0,090	17:29:20	0,012	0,078	0,866	0,750	16:59:20	16:54:20	16:39:20	17:19:20	0,040	1,000	0:54:20	0:51:50
E5	65207,850	1,589	19:49:20	2,959	-0,175	0,993	0,985	2:39:20	1:34:05	2:19:20	2:59:20	4,170	1,000	2:44:20	1:55:47
E6	6418,380	0,090	0:29:20	-0,017	0,092	-0,995	0,990	2:09:20	1:24:38	1:49:20	2:29:20	0,050	1,000	1:24:20	1:27:20
E7	65828,730	1,589	19:49:20	3,809	-0,301	0,999	0,998	2:39:20	1:45:39	2:19:20	2:59:20	4,440	1,000	2:24:20	1:51:36
E8	6420,360	0,089	0:29:20	0,009	0,083	0,740	0,547	10:59:20	11:30:27	10:39:20	11:19:20	0,040	1,000	1:24:20	1:21:50
E9	63511,500	1,580	19:49:20	3,692	-0,278	0,999	0,999	2:29:20	1:41:59	2:09:20	2:49:20	4,220	1,000	2:24:20	1:47:40
E10	6490,110	0,090	0:29:20	-0,012	0,092	-0,832	0,692	1:59:20	1:32:40	1:39:20	2:19:20	0,060	1,000	2:24:20	2:26:00
E11	63663,240	1,594	19:49:20	2,721	-0,227	0,996	0,992	3:09:20	1:59:38	2:49:20	3:29:20	3,460	1,000	3:04:20	2:13:23
E12	56100,090	1,455	19:49:20	3,193	-0,589	1,000	1,000	5:09:20	3:32:57	4:49:20	5:29:20	3,280	1,000	5:04:20	3:34:55
F1	6451,590	0,090	17:29:20	0,012	0,083	0,795	0,632	9:39:20	9:37:40	9:19:20	9:59:20	0,040	1,000	1:24:20	1:21:50
F2	74381,280	1,541	19:49:20	7,516	-0,627	0,996	0,991	2:19:20	1:37:45	1:59:20	2:39:20	9,740	1,000	2:24:20	1:48:54
F3	6409,410	0,090	0:29:20	-0,016	0,096	-0,977	0,955	7:19:20	6:36:50	6:59:20	7:39:20	-0,050	1,000	0:54:20	0:57:20
F4	72527,040	1,592	19:49:20	3,201	-0,233	0,981	0,961	3:19:20	1:46:08	2:59:20	3:39:20	5,490	1,000	3:14:20	2:23:58
F5	6443,730	0,090	0:29:20	0,016	0,073	0,970	0,941	16:59:20	17:15:35	16:39:20	17:19:20	0,050	1,000	2:54:20	2:57:20
F6	73822,020	1,610	19:49:20	2,885	-0,190	0,999	0,998	2:39:20	1:39:14	2:19:20	2:59:20	3,450	1,000	4:24:20	2:30:35
F7	6474,510	0,090	0:29:20	-0,012	0,092	-0,986	0,973	2:19:20	2:12:40	1:59:20	2:39:20	0,040	1,000	1:24:20	1:26:50
F8	73040,010	1,614	19:49:20	2,512	-0,166	0,994	0,987	4:09:20	1:44:33	3:49:20	4:29:20	3,490	1,000	4:04:20	2:24:47
F9	6403,200	0,089	0:29:20	0,013	0,074	0,794	0,631	18:49:20	19:06:15	18:29:20	19:09:20	0,050	1,000	3:24:20	3:31:20
F10	74268,210	1,624	19:49:20	3,129	-0,294	0,995	0,990	3:59:20	2:05:35	3:39:20	4:19:20	3,770	1,000	4:04:20	2:25:56
F11	6464,310	0,090	19:19:20	-0,012	0,090	-0,866	0,750	0:39:20	?????	0:19:20	0:59:20	-0,050	1,000	4:54:20	4:53:20
F12	77676,690	1,627	19:49:20	3,598	-0,210	0,997	0,994	2:19:20	1:26:08	1:59:20	2:39:20	4,590	1,000	2:34:20	1:41:53
G1	76009,290	1,593	19:49:20	5,012	-0,366	0,985	0,969	2:19:20	1:36:22	1:59:20	2:39:20	7,370	1,000	2:14:20	1:49:07
G2	6427,770	0,089	0:29:20	-0,009	0,098	-0,712	0,506	15:19:20	14:46:00	14:59:20	15:39:20	0,040	1,000	5:04:20	5:09:20
G3	82769,670	1,624	19:49:20	3,982	-0,246	0,999	0,998	2:49:20	1:29:03	2:29:20	3:09:20	4,650	1,000	2:54:20	1:43:24
G4	6513,510	0,091	0:29:20	-0,016	0,097	-0,977	0,955	6:29:20	5:46:50	6:09:20	6:49:20	-0,070	1,000	3:04:20	3:03:37
G5	80612,430	1,616	19:49:20	3,856	-0,273	0,991	0,981	2:49:20	1:38:02	2:29:20	3:09:20	5,970	1,000	2:54:20	2:06:29
G6	6445,920	0,090	3:59:20	-0,019	0,095	-0,712	0,507	4:09:20	4:00:55	3:49:20	4:29:20	-0,100	1,000	0:54:20	0:58:20
G7	81155,880	1,627	19:49:20	4,637	-0,409	0,984	0,967	2:49:20	1:49:22	2:29:20	3:09:20	6,730	1,000	3:04:20	2:12:38
G8	6464,100	0,090	0:29:20	0,011	0,084	0,904	0,818	8:49:20	10:03:53	8:29:20	9:09:20	0,050	1,000	1:24:20	1:23:20
G9	61967,790	1,421	19:49:20	3,050	-0,725	0,998	0,996	7:59:20	4:27:08	7:39:20	8:19:20	3,590	1,000	4:44:20	3:46:14
G10	6409,530	0,089	17:19:20	0,010	0,084	0,884	0,781	7:49:20	8:41:20	7:29:20	8:09:20	0,040	1,000	1:24:20	1:24:20
G11	59199,900	1,326	19:49:20	3,414	-0,171	0,997	0,994	2:49:20	1:19:25	2:29:20	3:09:20	4,470	1,000	2:44:20	1:41:09
G12	6675,540	0,110	19:49:20	0,472	-0,330	0,709	0,503	14:59:20	14:49:38	14:39:20	15:19:20	0,110	1,000	0:54:20	0:48:25
H1	6434,700	0,091	17:09:20	-0,034	0,128	-0,926	0,858	18:29:20	19:37:34	18:09:20	18:49:20	0,060	1,000	2:34:20	2:24:20
H2	79384,800	1,513	16:19:20	3,952	-0,074	0,998	0,997	1:29:20	0:46:51	1:09:20	1:49:20	4,440	1,000	1:34:20	0:55:51
H3	6471,330	0,090	19:09:20	-0,012	0,104	-0,717	0,514	19:39:20	19:47:40	19:19:20	19:59:20	-0,070	1,000	4:24:20	4:19:20
H4	85087,980	1,749	19:49:20	4,737	-0,326	0,992	0,983	2:29:20	1:30:25	2:09:20	2:49:20	6,190	1,000	2:24:20	1:44:27
H5	6486,030	0,091	16:09:20	0,016	0,089	0,906	0,821	0:49:20	1:05:35	0:29:20	1:09:20	-0,080	1,000	1:14:20	1:16:50
H6	83590,770	1,675	17:59:20	4,160	-0,759	1,000	1,000	6:39:20	3:25:37	6:19:20	6:59:20	5,460	1,000	2:54:20	2:02:45
H7	6530,730	0,091	17:39:20	0,013	0,081	0,948	0,899	12:39:20	12:07:02	12:19:20	12:59:20	-0,040	1,000	0:54:20	0:51:50
H8	85361,670	1,671	19:49:20	4,446	-0,253	0,995	0,990	2:19:20	1:19:42	1:59:20	2:39:20	5,730	1,000	2:14:20	1:32:11
H9	6496,920	0,091	19:19:20	-0,013	0,099	-0,991	0,983	10:49:20	11:24:43	10:29:20	11:09:20	0,030	1,000	1:24:20	1:22:40
H10	85869,120	1,710	16:39:20	4,306	-0,273	1,000	1,000	2:19:20	1:26:39	1:59:20	2:39:20	4,520	1,000	2:14:20	1:29:56
H11	6585,720	0,092	19:19:20	0,012	0,089	0,949	0,900	2:39:20	3:12:40	2:19:20	2:59:20	-0,040	1,000	3:04:20	3:06:50
H12	83226,150	1,673	16:49:20	4,931	-0,400	0,992	0,985	2:29:20	1:41:13	2:09:20	2:49:20	7,090	1,000	2:34:20	1:57:21
