Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
A1	63619,680	1,674	19:49:20	2,686	-0,896	1,000	1,000	13:39:20	6:11:41	13:19:20	13:59:20	2,200	1,000	3:34:20	2:26:25
A2	6507,270	0,091	0:29:20	0,013	0,083	0,991	0,983	9:39:20	10:28:34	9:19:20	9:59:20	0,040	1,000	1:24:20	1:24:20
A3	78220,260	1,646	19:49:20	3,093	-0,236	0,994	0,988	3:19:20	1:48:33	2:59:20	3:39:20	4,240	1,000	3:24:20	2:14:23
A4	6634,800	0,093	17:39:20	0,013	0,086	0,794	0,631	7:49:20	6:10:52	7:29:20	8:09:20	0,040	1,000	2:54:20	2:39:20
A5	75440,880	1,614	19:49:20	3,043	-0,195	1,000	0,999	2:29:20	1:37:49	2:09:20	2:49:20	4,650	1,000	3:54:20	2:30:15
A6	6669,360	0,093	0:29:20	-0,011	0,103	-0,839	0,703	15:19:20	13:52:04	14:59:20	15:39:20	0,040	1,000	3:24:20	3:31:50
A7	73395,630	1,614	19:49:20	3,537	-0,303	0,998	0,997	3:09:20	1:52:57	2:49:20	3:29:20	3,980	1,000	3:14:20	2:02:03
A8	6605,130	0,092	17:39:20	-0,013	0,100	-0,819	0,671	10:39:20	12:07:02	10:19:20	10:59:20	0,040	1,000	1:44:20	1:36:50
A9	72508,470	1,581	19:49:20	3,919	-0,322	0,999	0,998	2:29:20	1:47:04	2:09:20	2:49:20	4,420	1,000	2:34:20	1:52:37
A10	6412,080	0,090	17:09:20	0,016	0,085	0,970	0,941	3:39:20	3:55:35	3:19:20	3:59:20	0,060	1,000	1:24:20	1:24:20
A11	79157,640	1,616	19:49:20	3,437	-0,287	0,999	0,998	3:49:20	1:51:38	3:29:20	4:09:20	3,890	1,000	3:54:20	2:06:46
A12	6444,270	0,090	18:49:20	0,010	0,080	0,870	0,758	16:59:20	16:03:20	16:39:20	17:19:20	0,060	1,000	5:04:20	5:02:40
B1	6539,310	0,091	0:29:20	-0,014	0,102	-0,927	0,860	12:59:20	12:25:03	12:39:20	13:19:20	-0,050	1,000	2:34:20	2:29:20
B2	73570,890	1,574	19:49:20	4,146	-0,397	1,000	0,999	3:09:20	2:00:01	2:49:20	3:29:20	4,670	1,000	3:24:20	2:10:00
B3	6502,200	0,091	0:29:20	-0,010	0,092	-0,822	0,676	1:49:20	1:31:20	1:29:20	2:09:20	-0,060	1,000	4:54:20	4:49:20
B4	76346,370	1,615	19:49:20	3,510	-0,335	1,000	0,999	2:59:20	2:02:55	2:39:20	3:19:20	3,720	1,000	2:54:20	2:06:37
B5	6493,920	0,091	17:39:20	-0,012	0,098	-0,973	0,947	10:49:20	11:01:00	10:29:20	11:09:20	0,040	1,000	2:54:20	2:49:20
B6	58844,640	1,314	19:49:20	3,606	-0,421	1,000	1,000	3:59:20	2:22:28	3:39:20	4:19:20	3,940	1,000	3:54:20	2:30:12
B7	6403,800	0,090	19:29:20	0,012	0,084	0,849	0,720	6:59:20	5:52:40	6:39:20	7:19:20	0,040	1,000	1:24:20	1:19:20
B8	73915,560	1,602	19:49:20	4,386	-0,449	1,000	0,999	2:59:20	2:04:07	2:39:20	3:19:20	4,610	1,000	3:04:20	2:07:19
B9	6515,220	0,091	17:39:20	0,014	0,084	0,990	0,980	7:49:20	7:35:03	7:29:20	8:09:20	0,050	1,000	1:24:20	1:23:20
B10	70612,770	1,587	19:49:20	3,314	-0,425	0,994	0,988	3:59:20	2:36:22	3:39:20	4:19:20	4,210	1,000	3:54:20	2:54:12
B11	51149,730	1,641	19:49:20	5,186	-2,829	0,997	0,995	11:49:20	9:22:42	11:29:20	12:09:20	0,040	1,000	1:24:20	1:29:20
B12	79330,140	1,628	19:49:20	3,158	-0,238	1,000	1,000	3:29:20	1:45:53	3:09:20	3:49:20	4,230	1,000	4:34:20	2:31:01
C1	54820,350	1,227	19:49:20	5,148	-1,077	0,999	0,997	4:59:20	3:47:02	4:39:20	5:19:20	6,070	1,000	4:54:20	3:57:34
C2	6402,120	0,089	19:29:20	-0,021	0,093	-0,825	0,681	3:09:20	3:05:31	2:49:20	3:29:20	0,080	1,000	2:44:20	2:44:20
C3	71876,670	1,465	19:49:20	4,086	-0,275	0,998	0,996	2:39:20	1:32:09	2:19:20	2:59:20	4,950	1,000	2:24:20	1:41:58
C4	6500,730	0,091	1:49:20	-0,025	0,094	-0,950	0,903	2:09:20	2:06:56	1:49:20	2:29:20	0,070	1,000	1:34:20	1:27:54
C5	65567,400	1,392	19:49:20	3,705	-0,242	0,998	0,997	2:59:20	1:33:24	2:39:20	3:19:20	4,570	1,000	3:14:20	1:53:49
C6	6423,630	0,090	0:29:20	0,014	0,075	0,819	0,671	16:59:20	17:30:46	16:39:20	17:19:20	-0,040	1,000	4:24:20	4:14:20
C7	60862,020	1,312	19:49:20	4,113	-0,260	0,998	0,996	2:09:20	1:27:36	1:49:20	2:29:20	4,660	1,000	2:14:20	1:33:16
C8	6490,230	0,091	0:29:20	-0,014	0,096	-0,825	0,681	7:19:20	6:42:11	6:59:20	7:39:20	-0,050	1,000	0:44:20	0:39:20
C9	69675,120	1,465	19:49:20	3,841	-0,209	0,986	0,973	2:19:20	1:21:14	1:59:20	2:39:20	6,160	1,000	2:24:20	1:46:31
C10	6864,690	0,096	18:29:20	0,014	0,094	0,927	0,860	1:09:20	1:22:11	0:49:20	1:29:20	-0,040	1,000	3:04:20	3:06:50
C11	73305,300	1,534	19:49:20	3,745	-0,430	0,999	0,997	4:19:20	2:23:10	3:59:20	4:39:20	4,440	1,000	4:14:20	2:41:58
