Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
A1	98047,770	1,523	23:48:04	11,119	-3,279	0,989	0,978	6:08:04	5:04:00	5:48:04	6:28:04	4,400	1,000	2:23:04	1:44:05
A2	7591,230	0,088	21:38:04	-0,017	0,089	-0,628	0,395	1:28:04	1:30:25	1:08:04	1:48:04	0,110	1,000	1:03:04	0:59:53
A3	99303,180	1,538	23:48:04	7,766	-1,904	0,994	0,988	5:58:04	4:18:08	5:38:04	6:18:04	5,240	1,000	3:23:04	2:05:13
A4	7618,560	0,090	23:18:04	-0,047	0,156	-0,872	0,760	23:38:04	?????	23:18:04	23:58:04	0,050	1,000	1:03:04	1:02:04
A5	94153,560	1,479	23:48:04	8,517	-2,007	0,998	0,996	5:18:04	4:06:33	4:58:04	5:38:04	7,130	1,000	5:03:04	3:55:40
A6	7693,530	0,090	17:48:04	0,010	0,080	0,884	0,781	16:08:04	14:06:04	15:48:04	16:28:04	0,040	1,000	1:03:04	1:03:04
A7	98856,210	1,569	23:48:04	9,924	-2,935	0,995	0,990	6:18:04	5:06:17	5:58:04	6:38:04	2,570	1,000	3:03:04	2:00:05
A8	7712,520	0,090	22:18:04	-0,017	0,113	-0,906	0,821	22:38:04	23:16:53	22:18:04	22:58:04	-0,030	1,000	0:43:04	0:38:04
A9	101948,940	1,552	23:48:04	6,325	-0,554	0,999	0,998	2:38:04	1:43:40	2:18:04	2:58:04	7,160	1,000	2:23:04	1:48:23
A10	7541,790	0,088	21:28:04	0,009	0,084	0,900	0,810	4:48:04	4:48:04	4:28:04	5:08:04	0,030	1,000	1:33:04	1:34:44
A11	100004,160	1,569	23:48:04	10,083	-2,931	0,990	0,980	6:18:04	5:00:33	5:58:04	6:38:04	2,660	1,000	3:13:04	2:07:01
A12	7679,310	0,089	21:08:04	0,011	0,087	0,904	0,818	1:18:04	0:52:37	0:58:04	1:38:04	-0,030	1,000	0:53:04	0:48:04
B1	7660,740	0,089	0:28:04	0,011	0,080	0,802	0,644	13:38:04	14:21:42	13:18:04	13:58:04	-0,030	1,000	2:53:04	2:38:04
B2	99696,660	1,557	23:48:04	6,233	-1,394	0,998	0,996	6:08:04	3:59:07	5:48:04	6:28:04	6,010	1,000	3:13:04	2:13:43
B3	7757,490	0,090	20:18:04	-0,011	0,090	-0,839	0,703	0:58:04	0:36:15	0:38:04	1:18:04	-0,030	1,000	0:53:04	0:44:44
B4	93906,270	1,525	23:48:04	11,731	-3,433	0,988	0,975	5:58:04	5:01:06	5:38:04	6:18:04	2,030	1,000	3:13:04	1:48:16
B5	7786,290	0,091	0:28:04	-0,009	0,095	-0,938	0,880	9:28:04	8:28:04	9:08:04	9:48:04	-0,050	1,000	1:13:04	1:12:04
B6	96395,310	1,504	23:48:04	7,537	-1,022	0,990	0,979	3:18:04	2:29:37	2:58:04	3:38:04	10,100	1,000	3:23:04	2:44:37
B7	7661,370	0,089	21:28:04	-0,012	0,101	-0,986	0,973	16:48:04	16:58:04	16:28:04	17:08:04	-0,020	1,000	0:43:04	0:38:04
B8	103346,940	1,593	23:48:04	5,911	-0,585	0,996	0,991	2:28:04	1:56:05	2:08:04	2:48:04	7,280	1,000	2:33:04	2:02:28
B9	7622,430	0,089	0:28:04	-0,010	0,100	-0,870	0,758	20:28:04	18:44:04	20:08:04	20:48:04	-0,030	1,000	0:43:04	0:38:04
