Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
B10	98857,980	1,553	23:48:04	9,758	-2,567	0,991	0,982	5:48:04	4:33:25	5:28:04	6:08:04	3,240	1,000	4:33:04	2:38:35
B11	7640,310	0,089	21:38:04	-0,011	0,090	-0,820	0,672	1:58:04	1:48:59	1:38:04	2:18:04	0,050	1,000	1:33:04	1:32:04
B12	101491,530	1,535	23:48:04	6,982	-0,952	1,000	0,999	4:08:04	2:32:00	3:48:04	4:28:04	9,440	1,000	2:43:04	2:15:15
C1	61994,100	0,894	22:28:04	4,644	-0,589	0,928	0,861	3:28:04	2:29:07	3:08:04	3:48:04	12,440	1,000	3:33:04	3:09:13
C2	7677,630	0,089	0:28:04	-0,009	0,094	-0,783	0,614	9:28:04	8:48:04	9:08:04	9:48:04	-0,020	1,000	0:43:04	0:38:04
C3	70887,540	1,036	23:48:04	5,220	-0,768	0,995	0,990	3:38:04	2:48:47	3:18:04	3:58:04	7,330	1,000	3:43:04	3:05:06
C4	7661,310	0,089	22:18:04	-0,023	0,090	-0,631	0,398	0:58:04	1:10:14	0:38:04	1:18:04	-0,130	1,000	0:43:04	0:38:04
C5	68987,100	1,027	23:48:04	4,519	-0,777	0,990	0,981	4:18:04	3:12:15	3:58:04	4:38:04	5,810	1,000	4:23:04	3:26:48
C6	7660,710	0,089	1:18:04	0,023	0,065	0,955	0,912	16:58:04	17:19:48	16:38:04	17:18:04	-0,090	1,000	2:53:04	2:52:31
C7	63150,120	0,970	23:48:04	3,560	-0,482	0,996	0,992	3:38:04	2:42:03	3:18:04	3:58:04	4,520	1,000	3:33:04	2:53:04
C8	7652,010	0,089	0:28:04	-0,013	0,102	-0,727	0,528	16:48:04	16:09:36	16:28:04	17:08:04	0,030	1,000	3:33:04	3:31:24
C9	66139,200	1,009	23:48:04	4,275	-0,647	0,991	0,983	4:08:04	2:53:19	3:48:04	4:28:04	6,460	1,000	4:03:04	3:17:29
C10	7527,330	0,087	21:48:04	-0,010	0,095	-0,870	0,758	13:08:04	12:34:04	12:48:04	13:28:04	-0,030	1,000	2:03:04	1:58:04
C11	79929,240	1,465	23:48:04	4,042	-0,734	0,984	0,969	5:18:04	3:24:50	4:58:04	5:38:04	5,820	1,000	4:33:04	3:32:31
C12	7473,960	0,087	0:28:04	-0,013	0,095	-0,861	0,741	11:08:04	10:38:50	10:48:04	11:28:04	-0,030	1,000	1:43:04	1:34:44
D1	8209,260	0,095	0:28:04	0,014	0,082	0,855	0,731	15:48:04	16:03:47	15:28:04	16:08:04	-0,030	1,000	1:43:04	1:38:04
D2	73845,750	1,117	23:48:04	3,694	-0,377	0,978	0,957	3:18:04	2:11:57	2:58:04	3:38:04	6,210	1,000	3:33:04	2:44:50
D3	8231,280	0,099	21:08:04	0,114	0,072	0,652	0,425	3:18:04	2:54:23	2:58:04	3:38:04	-0,640	1,000	3:43:04	3:49:57
D4	70579,950	1,042	23:48:04	3,339	-0,351	0,979	0,959	3:18:04	2:14:08	2:58:04	3:38:04	5,240	1,000	3:33:04	2:42:38
D5	7741,260	0,091	0:28:04	0,013	0,074	0,861	0,741	19:48:04	22:12:41	19:28:04	20:08:04	-0,040	1,000	2:33:04	2:28:04
D6	72417,450	1,197	23:48:04	3,564	-0,380	0,992	0,984	3:08:04	2:13:42	2:48:04	3:28:04	4,610	1,000	2:53:04	2:23:02
D7	7646,400	0,089	0:28:04	-0,010	0,092	-0,762	0,581	5:08:04	4:12:04	4:48:04	5:28:04	0,060	1,000	4:43:04	4:48:04
D8	66799,530	0,989	23:48:04	3,962	-0,486	0,980	0,960	3:28:04	2:27:27	3:08:04	3:48:04	6,880	1,000	3:33:04	2:56:36
D9	7605,930	0,088	0:28:04	-0,013	0,098	-0,948	0,899	13:08:04	12:20:22	12:48:04	13:28:04	0,030	1,000	4:53:04	5:04:44
D10	66697,320	0,989	23:48:04	5,280	-0,784	0,973	0,946	3:38:04	2:46:56	3:18:04	3:58:04	10,040	1,000	3:43:04	3:13:03
D11	7538,400	0,088	0:28:04	-0,009	0,088	-0,866	0,750	0:38:04	0:18:04	0:18:04	0:58:04	-0,030	1,000	0:43:04	0:38:04
D12	72495,540	1,092	23:48:04	4,024	-0,455	0,991	0,982	4:18:04	2:18:36	3:58:04	4:38:04	6,400	1,000	4:33:04	3:09:13
E1	48991,080	0,755	23:48:04	2,032	-0,148	1,000	0,999	3:28:04	2:05:07	3:08:04	3:48:04	2,250	1,000	3:33:04	2:13:37
E2	7896,000	0,093	0:28:04	-0,019	0,112	-0,878	0,771	17:58:04	16:13:51	17:38:04	18:18:04	-0,060	1,000	1:53:04	1:43:04
E3	48493,800	0,804	23:48:04	2,215	-0,294	1,000	1,000	3:58:04	2:55:10	3:38:04	4:18:04	2,340	1,000	3:43:04	2:57:28
E4	7548,390	0,088	0:28:04	-0,015	0,095	-0,916	0,840	7:58:04	7:26:04	7:38:04	8:18:04	0,030	1,000	4:53:04	5:01:24
E5	50522,550	0,772	23:48:04	2,357	-0,265	0,999	0,999	3:38:04	2:31:54	3:18:04	3:58:04	2,580	1,000	3:43:04	2:38:25
E6	7598,790	0,089	0:28:04	0,013	0,070	0,991	0,983	23:08:04	?????	22:48:04	23:28:04	0,040	1,000	1:23:04	1:30:34
E7	53774,310	0,868	23:48:04	2,228	-0,245	1,000	0,999	3:58:04	2:32:14	3:38:04	4:18:04	2,390	1,000	4:03:04	2:38:34
E8	7657,080	0,089	0:28:04	0,033	0,042	0,995	0,990	23:08:04	23:47:28	22:48:04	23:28:04	-0,040	1,000	1:43:04	1:35:34
E9	54955,920	0,842	23:48:04	2,557	-0,283	1,000	1,000	3:58:04	2:29:45	3:38:04	4:18:04	2,650	1,000	3:53:04	2:32:54
E10	7763,340	0,091	0:28:04	0,008	0,080	0,707	0,500	19:48:04	22:28:04	19:28:04	20:08:04	-0,020	1,000	3:23:04	2:58:04
E11	53983,380	0,816	23:48:04	2,731	-0,294	1,000	1,000	3:38:04	2:23:33	3:18:04	3:58:04	2,800	1,000	3:33:04	2:25:32
E12	7595,730	0,090	0:28:04	-0,025	0,091	-0,994	0,989	0:38:04	?????	0:18:04	0:58:04	-0,040	1,000	3:23:04	2:55:34
F1	7525,320	0,088	0:28:04	0,009	0,080	0,866	0,750	12:18:04	13:38:04	11:58:04	12:38:04	0,030	1,000	1:33:04	1:38:04
F2	62751,090	1,246	23:48:04	2,089	-0,154	1,000	1,000	3:18:04	2:00:26	2:58:04	3:38:04	2,190	1,000	3:33:04	2:05:22
F3	7575,540	0,088	0:28:04	-0,010	0,088	-0,822	0,676	0:38:04	?????	0:18:04	0:58:04	-0,030	1,000	1:13:04	1:11:24
F4	52123,650	0,816	23:48:04	2,248	-0,221	1,000	0,999	3:28:04	2:20:31	3:08:04	3:48:04	2,370	1,000	3:33:04	2:24:39
F5	7683,750	0,090	0:28:04	-0,011	0,090	-0,957	0,917	0:58:04	0:25:20	0:38:04	1:18:04	-0,030	1,000	1:43:04	1:24:44
F6	54366,840	0,903	23:48:04	2,330	-0,326	1,000	1,000	3:58:04	2:58:33	3:38:04	4:18:04	2,470	1,000	4:13:04	3:02:38
F7	7658,970	0,090	0:28:04	-0,018	0,090	-0,965	0,931	0:38:04	?????	0:18:04	0:58:04	0,030	1,000	4:33:04	?????
F8	55825,140	0,906	23:48:04	2,233	-0,214	1,000	1,000	3:28:04	2:17:27	3:08:04	3:48:04	2,300	1,000	3:13:04	2:18:59
F9	7574,700	0,088	0:28:04	-0,011	0,095	-0,904	0,818	11:48:04	10:51:42	11:28:04	12:08:04	0,030	1,000	3:03:04	3:14:44
F10	57718,710	0,899	23:48:04	2,641	-0,311	1,000	0,999	3:48:04	2:39:54	3:28:04	4:08:04	2,900	1,000	3:43:04	2:44:54
F11	7468,290	0,087	0:28:04	-0,013	0,088	-0,969	0,939	0:38:04	?????	0:18:04	0:58:04	0,040	1,000	2:23:04	2:33:04
F12	61246,950	0,971	23:48:04	2,782	-0,263	1,000	0,999	3:28:04	2:09:30	3:08:04	3:48:04	2,980	1,000	3:23:04	2:15:01
G1	7684,860	0,090	0:28:04	-0,016	0,090	-0,812	0,660	0:38:04	0:24:19	0:18:04	0:58:04	-0,060	1,000	0:43:04	0:38:04
G2	7573,200	0,088	0:28:04	-0,011	0,088	-0,904	0,818	0:38:04	0:18:04	0:18:04	0:58:04	-0,020	1,000	5:03:04	4:48:04
G3	8567,250	0,099	23:18:04	0,010	0,096	0,962	0,926	4:48:04	4:40:04	4:28:04	5:08:04	-0,030	1,000	4:23:04	4:31:24
G4	8107,740	0,095	23:48:04	0,009	0,090	0,656	0,431	6:28:04	5:01:24	6:08:04	6:48:04	0,020	1,000	3:13:04	3:03:04
G5	7822,230	0,091	6:28:04	-0,023	0,108	-0,770	0,593	12:18:04	12:11:07	11:58:04	12:38:04	0,070	1,000	4:33:04	4:30:55
G6	7613,760	0,088	23:18:04	0,017	0,079	0,737	0,543	9:08:04	8:18:39	8:48:04	9:28:04	0,060	1,000	2:33:04	2:28:04
G7	7628,730	0,089	0:28:04	-0,008	0,091	-0,555	0,308	6:48:04	6:25:34	6:28:04	7:08:04	0,040	1,000	1:23:04	1:25:34
G8	7621,350	0,089	0:28:04	-0,010	0,098	-0,884	0,781	16:48:04	14:56:04	16:28:04	17:08:04	-0,040	1,000	1:13:04	1:08:04
G9	7543,710	0,088	0:28:04	0,012	0,072	0,832	0,692	21:08:04	22:08:04	20:48:04	21:28:04	-0,030	1,000	3:43:04	3:38:04
G10	7537,560	0,088	0:28:04	-0,014	0,088	-0,962	0,925	0:38:04	0:20:55	0:18:04	0:58:04	-0,040	1,000	2:43:04	2:35:34
G11	7543,440	0,088	0:28:04	-0,010	0,088	-0,962	0,926	0:38:04	0:20:04	0:18:04	0:58:04	-0,030	1,000	1:43:04	1:24:44
G12	7573,050	0,088	16:48:04	0,009	0,076	0,959	0,920	20:58:04	20:15:51	20:38:04	21:18:04	0,020	1,000	4:43:04	4:48:04
H1	7667,940	0,089	23:48:04	-0,024	0,108	-0,887	0,787	13:08:04	13:38:54	12:48:04	13:28:04	-0,060	1,000	4:33:04	4:34:44
H2	7592,220	0,088	10:48:04	0,036	0,066	0,942	0,888	10:28:04	10:16:57	10:08:04	10:48:04	0,030	1,000	3:33:04	3:41:24
H3	7927,410	0,092	23:18:04	0,014	0,086	0,619	0,383	6:58:04	6:12:21	6:38:04	7:18:04	-0,050	1,000	3:23:04	3:28:04
H4	7781,040	0,090	21:58:04	0,019	0,065	0,894	0,799	21:58:04	21:34:55	21:38:04	22:18:04	0,060	1,000	3:03:04	3:01:24
H5	7806,600	0,091	10:58:04	0,010	0,087	0,945	0,893	5:38:04	4:54:04	5:18:04	5:58:04	0,050	1,000	2:53:04	2:52:04
H6	7612,560	0,088	14:48:04	-0,011	0,099	-0,957	0,917	16:48:04	17:37:09	16:28:04	17:08:04	-0,030	1,000	0:43:04	0:38:04
H7	7547,160	0,088	16:38:04	0,013	0,071	0,876	0,768	21:08:04	21:00:22	20:48:04	21:28:04	-0,030	1,000	0:53:04	0:44:44
H8	7596,600	0,088	10:28:04	0,024	0,074	0,878	0,770	9:58:04	9:54:44	9:38:04	10:18:04	-0,030	1,000	3:13:04	3:08:04
H9	7602,510	0,088	16:38:04	0,012	0,076	0,744	0,554	16:08:04	16:08:04	15:48:04	16:28:04	-0,040	1,000	4:23:04	4:20:34
H10	7604,820	0,088	0:28:04	-0,010	0,089	-0,870	0,758	0:38:04	0:22:04	0:18:04	0:58:04	-0,030	1,000	0:43:04	0:38:04
H11	7564,590	0,088	0:28:04	-0,019	0,089	-0,936	0,876	0:38:04	?????	0:18:04	0:58:04	0,060	1,000	2:53:04	2:58:04
H12	7762,950	0,090	0:48:04	0,008	0,080	0,943	0,889	19:48:04	20:18:04	19:28:04	20:08:04	0,040	1,000	1:03:04	1:00:34
