Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
D12	68144,040	1,442	19:09:20	3,884	-0,441	1,000	1,000	3:39:20	2:18:44	3:19:20	3:59:20	3,940	1,000	3:34:20	2:20:39
E1	60575,940	1,378	19:49:20	5,607	-1,570	1,000	1,000	5:49:20	4:56:19	5:29:20	6:09:20	2,430	1,000	5:04:20	4:26:02
E2	6374,010	0,089	0:39:20	-0,009	0,094	-0,783	0,614	9:59:20	8:23:47	9:39:20	10:19:20	-0,040	1,000	3:14:20	3:04:20
E3	73419,120	1,489	19:49:20	4,275	-0,687	1,000	1,000	6:29:20	3:03:35	6:09:20	6:49:20	4,720	1,000	3:24:20	2:26:25
E4	6342,810	0,089	4:49:20	0,050	0,078	0,874	0,764	3:19:20	3:06:32	2:59:20	3:39:20	0,160	1,000	3:14:20	3:09:20
E5	72354,600	1,430	19:49:20	4,728	-0,798	1,000	0,999	5:29:20	3:10:57	5:09:20	5:49:20	4,280	1,000	5:04:20	2:59:12
E6	6706,830	0,094	18:19:20	0,035	0,083	0,922	0,851	4:09:20	3:55:03	3:49:20	4:29:20	0,090	1,000	4:14:20	4:03:47
E7	76114,440	1,481	19:49:20	4,650	-0,760	0,996	0,992	6:09:20	3:05:22	5:49:20	6:29:20	4,320	1,000	3:14:20	2:03:04
E8	8444,700	0,119	1:39:20	0,282	0,096	0,870	0,758	0:59:20	0:44:26	0:39:20	1:19:20	0,850	1,000	0:44:20	0:39:20
E9	69385,050	1,392	19:49:20	4,839	-0,863	0,998	0,997	5:09:20	3:19:19	4:49:20	5:29:20	5,610	1,000	5:04:20	3:34:54
E10	6331,800	0,089	3:09:20	-0,016	0,097	-0,977	0,955	8:59:20	8:39:20	8:39:20	9:19:20	-0,080	1,000	3:34:20	3:35:35
E11	78134,460	1,514	19:49:20	5,424	-0,539	1,000	1,000	2:49:20	1:58:23	2:29:20	3:09:20	5,800	1,000	2:44:20	2:01:53
E12	6493,530	0,091	18:29:20	0,034	0,082	0,886	0,785	3:39:20	3:22:52	3:19:20	3:59:20	0,100	1,000	3:34:20	3:24:20
F1	6397,290	0,090	1:19:20	-0,017	0,091	-0,995	0,990	1:49:20	1:22:16	1:29:20	2:09:20	-0,040	1,000	4:34:20	4:19:20
F2	74758,530	1,413	19:49:20	4,617	-0,595	0,997	0,994	5:39:20	2:33:12	5:19:20	5:59:20	4,310	1,000	3:34:20	1:54:21
F3	6679,230	0,093	0:29:20	-0,014	0,095	-0,849	0,721	3:29:20	2:35:03	3:09:20	3:49:20	0,040	1,000	2:44:20	2:46:50
F4	74433,540	1,440	19:49:20	6,140	-1,300	0,999	0,998	6:09:20	3:49:28	5:49:20	6:29:20	3,450	1,000	2:54:20	1:40:10
F5	6365,130	0,089	0:29:20	-0,010	0,091	-0,722	0,521	3:09:20	2:33:20	2:49:20	3:29:20	0,040	1,000	2:44:20	2:49:20
F6	72961,830	1,407	19:49:20	5,916	-1,113	1,000	0,999	5:39:20	3:26:36	5:19:20	5:59:20	3,650	1,000	2:24:20	1:30:42
F7	6348,030	0,088	17:49:20	-0,021	0,091	-0,894	0,799	2:09:20	1:38:51	1:49:20	2:29:20	0,090	1,000	1:44:20	1:40:27
F8	77265,990	1,467	19:49:20	5,096	-0,841	0,999	0,998	5:49:20	3:07:59	5:29:20	6:09:20	4,380	1,000	3:14:20	1:47:10
F9	6261,360	0,087	17:39:20	0,026	0,079	0,912	0,833	4:39:20	4:37:02	4:19:20	4:59:20	-0,090	1,000	3:44:20	3:49:20
F10	70102,860	1,396	19:49:20	6,934	-1,525	0,998	0,996	5:29:20	3:55:18	5:09:20	5:49:20	3,730	1,000	3:04:20	1:54:19
F11	6339,570	0,089	0:29:20	-0,011	0,090	-0,755	0,571	2:39:20	1:32:04	2:19:20	2:59:20	0,060	1,000	1:34:20	1:27:40
F12	74475,510	1,443	19:49:20	7,704	-1,685	0,987	0,974	5:29:20	3:52:13	5:09:20	5:49:20	5,080	1,000	4:54:20	3:05:18
G1	64150,950	1,372	19:49:20	3,117	-0,498	1,000	0,999	4:49:20	3:10:49	4:29:20	5:09:20	3,300	1,000	4:44:20	3:16:44
G2	6477,420	0,091	1:29:20	-0,022	0,093	-0,680	0,462	1:49:20	1:39:20	1:29:20	2:09:20	0,110	1,000	1:24:20	1:20:15
G3	49847,580	1,061	19:49:20	3,355	-0,570	1,000	1,000	4:09:20	3:18:22	3:49:20	4:29:20	3,510	1,000	4:14:20	3:20:37
G4	6812,460	0,095	12:09:20	0,031	0,090	0,907	0,823	2:09:20	1:21:35	1:49:20	2:29:20	0,090	1,000	2:44:20	2:28:13
G5	66110,970	1,306	19:49:20	3,746	-0,451	1,000	0,999	3:39:20	2:27:15	3:19:20	3:59:20	4,190	1,000	3:54:20	2:36:53
G6	6272,490	0,087	0:29:20	0,021	0,082	0,805	0,649	3:39:20	3:53:37	3:19:20	3:59:20	-0,080	1,000	4:04:20	4:05:35
G7	66059,460	1,314	19:49:20	3,765	-0,742	1,000	1,000	7:19:20	3:44:32	6:59:20	7:39:20	2,850	1,000	3:54:20	2:22:17
G8	6369,300	0,089	18:29:20	-0,020	0,090	-0,620	0,385	1:19:20	1:19:20	0:59:20	1:39:20	-0,100	1,000	1:24:20	1:26:20
G9	64060,620	1,288	19:49:20	5,116	-1,473	0,999	0,998	7:49:20	5:06:39	7:29:20	8:09:20	3,970	1,000	3:24:20	2:26:10
G10	6370,470	0,090	18:39:20	-0,025	0,118	-0,937	0,878	19:19:20	19:41:44	18:59:20	19:39:20	-0,080	1,000	3:14:20	3:14:20
G11	66999,120	1,336	19:49:20	3,761	-0,469	1,000	1,000	3:59:20	2:29:23	3:39:20	4:19:20	4,050	1,000	4:04:20	2:36:25
G12	6311,850	0,088	0:29:20	-0,012	0,094	-0,832	0,692	8:59:20	7:37:40	8:39:20	9:19:20	0,060	1,000	0:54:20	0:51:00
H1	6434,730	0,090	19:49:20	0,018	0,079	0,783	0,614	9:29:20	9:39:20	9:09:20	9:49:20	-0,040	1,000	2:24:20	2:21:50
H2	56361,570	1,143	19:49:20	3,890	-0,555	0,999	0,999	4:19:20	2:45:46	3:59:20	4:39:20	4,340	1,000	4:34:20	2:56:56
H3	6492,360	0,092	16:39:20	-0,048	0,143	-0,828	0,686	18:09:20	18:21:50	17:49:20	18:29:20	0,100	1,000	4:04:20	4:00:20
H4	72894,690	1,505	19:49:20	5,408	-0,814	1,000	0,999	3:39:20	2:48:16	3:19:20	3:59:20	5,710	1,000	3:44:20	2:51:06
H5	6461,550	0,091	10:39:20	-0,037	0,129	-0,992	0,983	17:19:20	17:50:41	16:59:20	17:39:20	0,150	1,000	1:34:20	1:29:20
H6	70857,300	1,466	19:49:20	5,170	-1,286	1,000	1,000	7:19:20	4:27:57	6:59:20	7:39:20	3,310	1,000	3:04:20	2:10:38
H7	6318,930	0,089	18:49:20	-0,020	0,091	-0,791	0,625	2:29:20	2:19:20	2:09:20	2:49:20	0,080	1,000	2:04:20	2:00:35
H8	68273,190	1,421	19:49:20	4,152	-0,716	1,000	1,000	4:19:20	3:13:58	3:59:20	4:39:20	4,250	1,000	4:14:20	3:15:07
H9	6760,440	0,095	18:29:20	-0,020	0,118	-0,652	0,426	19:19:20	?????	18:59:20	19:39:20	0,050	1,000	1:24:20	1:15:20
H10	56991,030	1,214	19:49:20	5,663	-1,150	0,999	0,998	4:49:20	3:39:33	4:29:20	5:09:20	6,150	1,000	5:04:20	3:46:05
H11	6805,890	0,095	19:09:20	0,030	0,087	0,721	0,520	3:49:20	3:41:20	3:29:20	4:09:20	-0,140	1,000	4:14:20	4:22:11
H12	72673,440	1,547	19:49:20	4,934	-0,862	0,999	0,998	4:19:20	3:13:09	3:59:20	4:39:20	5,680	1,000	4:24:20	3:22:22
