Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
A1	59434,470	1,353	19:49:20	3,734	-0,731	1,000	0,999	5:39:20	3:43:02	5:19:20	5:59:20	2,940	1,000	5:04:20	3:19:20
A2	6499,110	0,090	4:29:20	-0,009	0,099	-0,938	0,880	15:49:20	15:33:47	15:29:20	16:09:20	-0,030	1,000	3:14:20	3:16:00
A3	62512,740	1,361	19:49:20	5,637	-0,936	0,999	0,999	4:09:20	3:03:41	3:49:20	4:29:20	6,390	1,000	4:14:20	3:12:15
A4	6489,600	0,091	18:29:20	0,024	0,065	0,866	0,750	17:19:20	16:59:20	16:59:20	17:39:20	0,050	1,000	3:34:20	3:15:20
A5	58688,190	1,283	19:49:20	3,986	-0,534	1,000	1,000	3:39:20	2:37:34	3:19:20	3:59:20	4,110	1,000	3:54:20	2:40:01
A6	6490,710	0,091	19:49:20	0,017	0,081	0,933	0,870	8:29:20	8:55:13	8:09:20	8:49:20	-0,050	1,000	4:04:20	3:59:20
A7	62910,300	1,365	19:49:20	3,818	-0,401	1,000	1,000	3:39:20	2:13:59	3:19:20	3:59:20	3,910	1,000	3:24:20	2:16:24
A8	6492,360	0,091	0:29:20	-0,012	0,095	-0,866	0,750	6:29:20	4:52:40	6:09:20	6:49:20	-0,060	1,000	1:54:20	1:51:00
A9	61855,740	1,303	19:49:20	4,244	-0,541	1,000	1,000	3:39:20	2:31:46	3:19:20	3:59:20	4,380	1,000	3:34:20	2:34:02
A10	6556,080	0,091	2:49:20	-0,020	0,095	-0,870	0,758	3:29:20	3:35:20	3:09:20	3:49:20	-0,060	1,000	3:14:20	3:24:20
A11	58435,050	1,257	19:49:20	3,769	-0,436	0,999	0,998	3:39:20	2:23:04	3:19:20	3:59:20	4,530	1,000	3:54:20	2:39:12
A12	6360,660	0,089	5:19:20	-0,021	0,112	-0,910	0,829	18:49:20	17:59:49	18:29:20	19:09:20	0,060	1,000	4:54:20	4:52:40
B1	6708,570	0,094	5:39:20	0,039	0,081	0,887	0,787	5:09:20	5:13:26	4:49:20	5:29:20	0,040	1,000	2:44:20	2:46:50
B2	57986,550	1,150	19:49:20	3,989	-0,421	1,000	1,000	3:29:20	2:11:00	3:09:20	3:49:20	4,230	1,000	3:24:20	2:15:19
B3	6417,510	0,090	0:29:20	-0,031	0,091	-0,814	0,662	0:39:20	?????	0:19:20	0:59:20	-0,040	1,000	2:34:20	2:29:20
B4	57709,830	1,151	19:49:20	3,588	-0,293	1,000	1,000	2:49:20	1:49:28	2:29:20	3:09:20	3,770	1,000	3:34:20	1:57:56
B5	6646,950	0,095	19:49:20	0,067	0,027	0,873	0,762	16:29:20	16:11:43	16:09:20	16:49:20	0,110	1,000	4:44:20	4:32:58
B6	56418,690	1,134	19:49:20	5,039	-0,498	0,994	0,989	2:39:20	1:58:04	2:19:20	2:59:20	6,120	1,000	2:44:20	2:07:34
B7	6451,710	0,090	0:29:20	0,017	0,073	0,766	0,587	16:29:20	17:36:24	16:09:20	16:49:20	-0,060	1,000	5:04:20	4:51:00
B8	53105,310	1,095	19:49:20	3,954	-0,406	0,998	0,997	2:59:20	2:07:07	2:39:20	3:19:20	4,470	1,000	3:14:20	2:15:01
B9	6594,300	0,092	8:29:20	0,047	0,083	0,899	0,809	3:09:20	2:57:51	2:49:20	3:29:20	0,170	1,000	0:44:20	0:39:20
B10	53464,140	1,101	19:49:20	3,880	-0,405	1,000	1,000	3:09:20	2:09:36	2:49:20	3:29:20	4,010	1,000	3:14:20	2:11:42
B11	6516,900	0,091	19:09:20	0,040	0,078	0,884	0,781	4:59:20	4:51:20	4:39:20	5:19:20	0,120	1,000	5:04:20	4:56:50
B12	60545,580	1,294	19:49:20	4,652	-0,563	0,994	0,989	3:09:20	2:21:19	2:49:20	3:29:20	6,650	1,000	3:14:20	2:37:42
C1	46040,220	1,010	19:49:20	2,414	-0,465	1,000	1,000	5:49:20	3:50:41	5:29:20	6:09:20	1,980	1,000	4:44:20	3:28:35
C2	6520,170	0,091	1:09:20	-0,009	0,092	-0,959	0,920	1:39:20	1:41:33	1:19:20	1:59:20	0,040	1,000	4:14:20	4:21:50
C3	42113,400	0,872	19:39:20	2,747	-0,584	1,000	1,000	5:09:20	4:05:21	4:49:20	5:29:20	2,790	1,000	5:04:20	4:06:13
C4	6472,140	0,090	18:09:20	0,030	0,083	0,876	0,768	3:49:20	3:24:40	3:29:20	4:09:20	0,100	1,000	3:44:20	3:35:20
C5	43157,820	0,890	19:49:20	2,620	-0,551	1,000	0,999	5:59:20	4:05:18	5:39:20	6:19:20	2,390	1,000	4:54:20	3:56:27
C6	7439,760	0,108	19:49:20	0,070	0,036	0,851	0,724	16:39:20	14:09:54	16:19:20	16:59:20	0,220	1,000	4:34:20	4:17:31
C7	40934,790	0,885	19:49:20	2,349	-0,469	1,000	0,999	4:59:20	3:57:57	4:39:20	5:19:20	2,460	1,000	5:04:20	4:00:38
C8	6456,660	0,090	2:19:20	-0,024	0,114	-0,926	0,857	16:39:20	16:33:30	16:19:20	16:59:20	-0,040	1,000	4:34:20	4:36:50
C9	45403,950	0,976	19:49:20	2,315	-0,447	1,000	0,999	5:59:20	3:52:48	5:39:20	6:19:20	2,180	1,000	5:04:20	3:46:35
C10	6384,540	0,089	18:19:20	-0,041	0,106	-0,688	0,474	6:59:20	6:47:38	6:39:20	7:19:20	0,080	1,000	5:04:20	5:06:50
C11	42062,070	0,876	19:29:20	2,323	-0,474	1,000	1,000	5:19:20	4:03:18	4:59:20	5:39:20	2,410	1,000	5:04:20	4:05:26
C12	6385,830	0,091	0:29:20	-0,019	0,093	-0,985	0,970	2:39:20	1:23:33	2:19:20	2:59:20	-0,070	1,000	3:14:20	2:57:54
D1	6562,020	0,091	18:09:20	0,013	0,078	0,788	0,621	17:29:20	17:57:02	17:09:20	17:49:20	-0,040	1,000	2:54:20	2:59:20
D2	61114,470	1,237	19:49:20	3,891	-0,454	1,000	0,999	3:29:20	2:21:42	3:09:20	3:49:20	4,190	1,000	3:34:20	2:26:53
D3	6354,090	0,089	18:39:20	0,016	0,085	0,808	0,653	3:29:20	3:20:35	3:09:20	3:49:20	-0,070	1,000	3:04:20	3:10:46
D4	60013,770	1,318	19:49:20	4,036	-0,565	1,000	1,000	3:49:20	2:44:00	3:29:20	4:09:20	4,190	1,000	3:54:20	2:46:37
D5	6459,840	0,090	0:29:20	-0,011	0,091	-0,930	0,864	2:39:20	2:12:04	2:19:20	2:59:20	-0,040	1,000	1:44:20	1:44:20
D6	60123,240	1,305	19:49:20	4,264	-0,620	1,000	1,000	3:49:20	2:47:42	3:29:20	4:09:20	4,410	1,000	3:44:20	2:49:54
D7	6587,550	0,092	1:09:20	-0,014	0,094	-0,927	0,860	1:39:20	1:47:54	1:19:20	1:59:20	-0,050	1,000	4:44:20	4:31:20
D8	60234,450	1,331	19:49:20	3,555	-0,346	0,998	0,995	2:49:20	2:06:59	2:29:20	3:09:20	4,200	1,000	2:44:20	2:13:19
D9	6616,170	0,092	6:09:20	0,044	0,077	0,894	0,800	5:29:20	5:20:15	5:09:20	5:49:20	0,100	1,000	4:14:20	4:11:20
D10	62186,520	1,345	19:49:20	3,769	-0,369	1,000	1,000	2:59:20	2:05:14	2:39:20	3:19:20	4,200	1,000	4:04:20	2:27:36
D11	6488,790	0,090	0:29:20	0,012	0,089	0,795	0,632	2:09:20	2:49:20	1:49:20	2:29:20	-0,040	1,000	2:34:20	2:31:50
