Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
G4	7567,410	0,089	0:28:04	0,021	0,075	0,866	0,750	10:08:04	11:06:10	9:48:04	10:28:04	0,090	1,000	2:33:04	2:35:51
G5	88223,700	1,427	23:48:04	7,340	-2,226	0,997	0,993	6:58:04	5:16:42	6:38:04	7:18:04	3,260	1,000	2:53:04	2:00:07
G6	7556,250	0,088	0:28:04	-0,017	0,089	-0,969	0,938	1:08:04	0:43:22	0:48:04	1:28:04	0,030	1,000	0:43:04	0:38:04
G7	81712,830	1,279	23:48:04	6,608	-1,813	0,997	0,993	6:38:04	4:49:52	6:18:04	6:58:04	3,470	1,000	2:53:04	1:50:15
G8	7571,640	0,088	0:28:04	-0,008	0,092	-0,970	0,941	9:18:04	8:13:04	8:58:04	9:38:04	0,060	1,000	2:33:04	2:39:44
G9	84244,830	1,362	23:48:04	8,323	-2,570	0,998	0,997	6:38:04	5:21:13	6:18:04	6:58:04	2,110	1,000	2:13:04	1:30:35
G10	7575,930	0,089	0:28:04	-0,013	0,090	-0,948	0,899	1:08:04	?????	0:48:04	1:28:04	-0,050	1,000	2:43:04	2:34:04
G11	87071,970	1,359	23:48:04	3,813	-0,504	0,998	0,995	5:58:04	2:39:28	5:38:04	6:18:04	3,850	1,000	2:53:04	1:54:57
G12	7388,250	0,086	19:48:04	0,011	0,072	0,728	0,531	21:38:04	21:08:59	21:18:04	21:58:04	0,030	1,000	2:53:04	2:58:04
H1	7652,400	0,090	0:28:04	-0,015	0,090	-0,916	0,840	0:38:04	?????	0:18:04	0:58:04	0,040	1,000	2:33:04	2:48:04
H2	107032,800	1,586	23:48:04	7,186	-1,524	0,999	0,997	5:58:04	3:45:39	5:38:04	6:18:04	3,750	1,000	3:03:04	1:46:46
H3	7644,270	0,089	19:18:04	-0,009	0,100	-0,686	0,471	19:38:04	21:00:17	19:18:04	19:58:04	-0,040	1,000	2:23:04	2:20:34
H4	104086,320	1,559	23:48:04	8,340	-2,035	0,997	0,993	5:58:04	4:15:48	5:38:04	6:18:04	7,480	1,000	2:33:04	1:56:02
H5	7572,510	0,088	13:08:04	-0,012	0,097	-0,915	0,837	13:28:04	13:49:44	13:08:04	13:48:04	-0,040	1,000	5:03:04	5:00:34
H6	109018,890	1,578	23:18:04	6,087	-0,577	0,999	0,999	2:38:04	1:51:32	2:18:04	2:58:04	6,710	1,000	2:23:04	1:55:44
H7	7445,430	0,087	22:58:04	0,013	0,078	0,893	0,797	10:08:04	10:12:41	9:48:04	10:28:04	-0,060	1,000	1:53:04	1:51:24
H8	105419,160	1,540	23:48:04	7,573	-0,625	0,998	0,996	2:18:04	1:36:33	1:58:04	2:38:04	9,090	1,000	2:23:04	1:44:50
H9	8114,970	0,094	20:28:04	-0,011	0,094	-0,682	0,465	0:38:04	?????	0:18:04	0:58:04	0,030	1,000	2:33:04	2:38:04
H10	105116,130	1,552	23:38:04	4,788	-0,405	0,999	0,997	2:48:04	1:45:47	2:28:04	3:08:04	5,940	1,000	4:43:04	2:32:49
H11	7449,570	0,087	20:48:04	0,014	0,083	0,962	0,925	3:08:04	3:40:55	2:48:04	3:28:04	-0,060	1,000	3:33:04	3:28:04
H12	110354,550	1,584	23:08:04	6,090	-1,007	0,996	0,991	5:48:04	3:02:02	5:28:04	6:08:04	4,730	1,000	3:03:04	1:41:24
