Well	Integral:Integral[OpticalDensity:600]	maxOD:MeanMaxOD[OpticalDensity:600]	maxOD:tatMeanMaxOD[OpticalDensity:600]	CustomStatistics:MaxV[OpticalDensity:600]	CustomStatistics:YIntercept[OpticalDensity:600]	CustomStatistics:R[OpticalDensity:600]	CustomStatistics:R-Squared[OpticalDensity:600]	CustomStatistics:tatMaxV[OpticalDensity:600]	CustomStatistics:Lagtime[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmin[OpticalDensity:600]	CustomStatistics:MaxVCalc-tmax[OpticalDensity:600]	Early_MaxV:MaxV[OpticalDensity:600]	Early_MaxV:R-Squared[OpticalDensity:600]	Early_MaxV:tatMaxV[OpticalDensity:600]	Early_MaxV:Lagtime[OpticalDensity:600]
A1	92002,470	1,386	23:48:04	5,004	-0,732	0,999	0,999	4:58:04	2:50:33	4:38:04	5:18:04	5,140	1,000	5:03:04	2:57:00
A2	7596,180	0,088	0:28:04	-0,010	0,089	-0,945	0,893	1:58:04	1:24:04	1:38:04	2:18:04	-0,040	1,000	4:43:04	4:30:34
A3	93007,200	1,381	17:08:04	8,184	-1,891	0,993	0,985	5:28:04	4:04:41	5:08:04	5:48:04	4,290	1,000	5:03:04	3:09:03
A4	7760,850	0,090	18:58:04	-0,009	0,097	-0,900	0,810	13:18:04	14:02:31	12:58:04	13:38:04	-0,040	1,000	4:03:04	3:55:34
A5	94214,100	1,373	19:48:04	4,301	-0,485	0,999	0,997	5:08:04	2:18:26	4:48:04	5:28:04	4,750	1,000	5:03:04	2:35:59
A6	8044,860	0,094	11:38:04	-0,015	0,111	-0,855	0,731	20:08:04	21:13:24	19:48:04	20:28:04	0,030	1,000	4:53:04	4:34:44
A7	90344,490	1,347	23:48:04	7,500	-1,506	0,992	0,985	4:58:04	3:34:44	4:38:04	5:18:04	9,570	1,000	4:53:04	3:51:51
A8	7712,100	0,090	18:48:04	-0,010	0,101	-0,822	0,676	18:58:04	19:20:04	18:38:04	19:18:04	0,030	1,000	4:13:04	4:18:04
A9	94476,360	1,408	23:48:04	9,843	-2,306	0,995	0,991	5:08:04	4:05:22	4:48:04	5:28:04	12,270	1,000	5:03:04	4:18:06
A10	7521,420	0,087	17:48:04	-0,009	0,088	-0,822	0,675	2:58:04	2:13:37	2:38:04	3:18:04	0,040	1,000	2:33:04	2:38:04
A11	99750,000	1,426	23:48:04	6,415	-0,593	0,999	0,997	3:08:04	1:49:26	2:48:04	3:28:04	7,430	1,000	3:23:04	2:03:45
A12	7667,280	0,089	0:28:04	-0,019	0,090	-0,936	0,876	0:38:04	0:20:10	0:18:04	0:58:04	0,040	1,000	1:13:04	1:10:34
B1	7943,910	0,092	17:38:04	0,011	0,080	0,930	0,864	18:38:04	17:52:37	18:18:04	18:58:04	-0,030	1,000	0:43:04	0:38:04
B2	94984,410	1,441	22:08:04	9,811	-2,454	0,996	0,991	5:28:04	4:21:43	5:08:04	5:48:04	4,000	1,000	5:03:04	3:15:07
B3	7606,500	0,089	0:28:04	-0,010	0,090	-0,884	0,781	2:58:04	2:06:04	2:38:04	3:18:04	0,030	1,000	3:23:04	3:41:24
B4	89956,680	1,361	21:38:04	9,029	-2,152	0,991	0,983	5:08:04	4:09:58	4:48:04	5:28:04	9,220	1,000	5:03:04	4:13:38
B5	8875,200	0,103	18:18:04	-0,011	0,111	-0,972	0,945	11:38:04	13:07:09	11:18:04	11:58:04	-0,030	1,000	3:03:04	3:01:24
B6	92651,580	1,372	17:08:04	5,184	-0,712	1,000	0,999	3:58:04	2:39:08	3:38:04	4:18:04	5,620	1,000	3:43:04	2:40:55
B7	7664,460	0,089	17:48:04	-0,010	0,090	-0,791	0,625	2:58:04	2:28:04	2:38:04	3:18:04	-0,040	1,000	3:03:04	2:55:34
B8	92212,680	1,408	21:28:04	10,282	-2,667	0,993	0,986	5:28:04	4:29:06	5:08:04	5:48:04	3,750	1,000	5:03:04	3:18:50
B9	7667,970	0,089	0:28:04	-0,010	0,094	-0,884	0,781	8:58:04	7:56:04	8:38:04	9:18:04	-0,040	1,000	4:03:04	3:50:34
B10	96090,000	1,449	21:28:04	5,643	-1,058	0,997	0,994	5:28:04	3:25:59	5:08:04	5:48:04	4,090	1,000	3:13:04	2:19:14
B11	7469,610	0,087	0:28:04	0,009	0,078	0,740	0,547	16:28:04	16:52:31	16:08:04	16:48:04	-0,040	1,000	1:43:04	1:35:34
B12	99824,880	1,431	21:28:04	4,691	-0,472	1,000	1,000	4:48:04	2:04:49	4:28:04	5:08:04	4,860	1,000	4:33:04	2:13:08
C1	89365,320	1,435	23:48:04	4,390	-0,767	0,998	0,996	5:48:04	3:22:42	5:28:04	6:08:04	2,830	1,000	2:43:04	1:45:14
C2	7556,280	0,088	0:28:04	-0,009	0,088	-0,900	0,810	0:48:04	0:36:57	0:28:04	1:08:04	-0,020	1,000	0:53:04	0:43:04
C3	92441,610	1,524	23:48:04	3,863	-0,648	0,999	0,998	5:38:04	3:12:25	5:18:04	5:58:04	3,700	1,000	5:03:04	3:06:54
C4	7735,950	0,090	0:28:04	-0,011	0,092	-0,904	0,818	2:58:04	2:23:31	2:38:04	3:18:04	0,030	1,000	1:53:04	2:04:44
C5	86160,090	1,390	23:48:04	4,655	-0,414	0,995	0,990	2:28:04	1:49:42	2:08:04	2:48:04	6,030	1,000	2:33:04	2:00:26
C6	7609,320	0,089	0:28:04	-0,010	0,102	-0,729	0,532	23:38:04	22:30:04	23:18:04	23:58:04	-0,030	1,000	4:03:04	3:41:24
C7	82284,690	1,382	23:48:04	3,590	-0,395	0,999	0,999	2:58:04	2:15:15	2:38:04	3:18:04	3,890	1,000	3:03:04	2:19:04
C8	7974,630	0,093	0:28:04	-0,009	0,102	-0,900	0,810	18:58:04	16:55:51	18:38:04	19:18:04	-0,030	1,000	3:03:04	2:44:44
C9	100374,420	1,585	23:48:04	7,471	-1,796	0,995	0,991	5:58:04	4:14:08	5:38:04	6:18:04	3,900	1,000	5:03:04	3:03:15
C10	8126,070	0,095	0:28:04	-0,008	0,104	-0,800	0,640	22:28:04	19:45:34	22:08:04	22:48:04	-0,040	1,000	5:03:04	4:43:04
C11	89147,430	1,477	23:48:04	8,678	-2,187	0,993	0,986	5:18:04	4:24:18	4:58:04	5:38:04	4,520	1,000	5:03:04	3:50:19
