,Plasmid,Sample,Replicate,Antibiotic,Project,Species,Vmax_day3,lag_day3,AUC_day3,ODmax_day3,Day.y,AUC,ODmax,Replicate_cntrl,y0,y0_lm,Vmax,lag,r2,Day,Treatment
27,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",9,"721,354,999,999,997","0,811",3,"0,12","0,0765512555977958","0,00644056445450489","697,968,666,668,389","0,99954345458857",9,problems
28,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",11,"145,419,499,999,999","1,432",3,"0,126","0,0736816582356478","0,00740324193093659","724,720,351,367,882","0,999578946608756",11,problems
29,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",13,"143,501,500,000,002","1,389",3,"0,125","0,0715753352988411","0,00649940662828484","857,867,854,154,938","0,999716912820386",13,problems
30,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081",6.69E+14,"0,719",15,"144,827,500,000,001","1,385",3,"0,123","0,0853430790021151","0,00633277022926348","577,164,472,724,865","0,999343696861825",15,problems
31,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",17,"132,901,499,999,999","1,319",3,"0,105","0,0361474998499934","0,00762429297359209","139,862,485,358,407","0,998877792615478",17,problems
32,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",19,"119,975,499,999,999","1,245",3,"0,098","0,0352869446075763","0,00707056885006244","144,465,664,071,082","0,999529699772229",19,problems
33,-,Delta6,2,-,RIBO,Ec,"0,00434002529969205","120,488,401,324,081","668,939,999,999,989","0,719",21,"129,987,999,999,999","1,312",3,"0,102","0,051798804728544","0,0074396019639951","910,809,129,712,788","0,999334725678002",21,problems
34,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",1,"500,860,000,000,001","0,66",4,"0,092","0,00422394933138626","0,00649254578207751","474,546,985,041,297","0,999787589662436",1,problems
35,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",3,"728,469,999,999,992","0,77",4,"0,101","0,0320588721497345","0,0069924038943579","164,113,310,240,002","0,995847613540774",3,problems
36,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002",7.28E+14,"0,77",5,"663,065,000,000,003","0,74",4,"0,102","0,0469915569045382","0,00578745451069569","133,911,180,918,687","0,999236476787627",5,problems
37,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",7,"723,775,000,000,004","0,746",4,"0,097","0,0268309583363383","0,00932773036746867","137,777,845,760,961","0,999140777291947",7,problems
38,-,Delta6,3,-,RIBO,Ec,"0,0069924038943579","164,113,310,240,002","728,469,999,999,992","0,77",9,"642,045,000,000,011","0,688",4,"0,104","0,0545049678975864","0,00714966477553316","90,367,740,002,764","0,998979280100504",9,problems
